SFIN,Segregated Fund Name,NAV Date,NAV Per Unit,Company Name,Date,Sr.no.
ULIF07528/05/24AlphaIdxFd101,Nifty Alpha 30 Fund,03-09-2024,10.1107,HDFC Life Insurance Company Limited,03-Sep-24,1
ULIF07317/01/24MidCpMoIdx101,HDFC Life Midcap Momentum Fund,03-09-2024,11.9968,HDFC Life Insurance Company Limited,03-Sep-24,2
ULIF07201/09/23FlexiCapPF101,Flexi Cap Pension Fund,03-09-2024,12.0780,HDFC Life Insurance Company Limited,03-Sep-24,3
ULIF07114/07/23FlexiCapFd101,Flexi Cap Fund,03-09-2024,15.4837,HDFC Life Insurance Company Limited,03-Sep-24,4
ULIF07019/07/21SustnblEqF101,Sustainable Equity Fund,03-09-2024,14.9092,HDFC Life Insurance Company Limited,03-Sep-24,5
ULIF06914/06/19SecAdvFund101,Secure Advantage Fund,03-09-2024,13.6907,HDFC Life Insurance Company Limited,03-Sep-24,6
ULIF06814/06/19BondPlusFd101,Bond Plus Fund,03-09-2024,13.6058,HDFC Life Insurance Company Limited,03-Sep-24,7
ULIF06723/03/18EqtyAdvtFd101,Equity Advantage Fund,03-09-2024,28.8201,HDFC Life Insurance Company Limited,03-Sep-24,8
ULIF06618/01/18DiscvryFnd101,Discovery Fund,03-09-2024,40.4455,HDFC Life Insurance Company Limited,03-Sep-24,9
ULIF06501/04/16UnclaimdPF101,Unclaimed Policyholders Fund,03-09-2024,15.9927,HDFC Life Insurance Company Limited,03-Sep-24,10
ULIF06401/04/15CapSecFund101,Capital Secure Fund,03-09-2024,14.7378,HDFC Life Insurance Company Limited,03-Sep-24,11
ULIF06301/04/15CapGrwthFd101,Capital Growth Fund,03-09-2024,31.2185,HDFC Life Insurance Company Limited,03-Sep-24,12
ULIF06201/04/14PenConsvFd101,Pension Conservative Fund,03-09-2024,10,HDFC Life Insurance Company Limited,03-Sep-24,13
ULIF06101/04/14PenIncFund101,Pension Income Fund,03-09-2024,16.1148,HDFC Life Insurance Company Limited,03-Sep-24,14
ULIF06001/04/14PenEqPlsFd101,Pension Equity Plus Fund,03-09-2024,30.4569,HDFC Life Insurance Company Limited,03-Sep-24,15
ULIF05801/08/13ConsertvFd101,Conservative Fund,03-09-2024,18.7412,HDFC Life Insurance Company Limited,03-Sep-24,16
ULIF05601/08/13Bond Funds101,Bond Fund,03-09-2024,19.8767,HDFC Life Insurance Company Limited,03-Sep-24,17
ULIF05501/08/13DivrEqtyFd101,Diversified Equity Fund,03-09-2024,42.3257,HDFC Life Insurance Company Limited,03-Sep-24,18
ULIF05301/08/13EquityPlus101,Equity Plus Fund,03-09-2024,33.8290,HDFC Life Insurance Company Limited,03-Sep-24,19
ULIF05201/10/13DiscontdPF101,Discontinued Policy Fund Pension,03-09-2024,18.9895,HDFC Life Insurance Company Limited,03-Sep-24,20
ULIF05110/03/11DiscontdPF101,Discontinued Policy Fund,03-09-2024,23.3343,HDFC Life Insurance Company Limited,03-Sep-24,21
ULIF04818/06/12PenSuPls12101,Pension Super Plus 2012,03-09-2024,29.4174,HDFC Life Insurance Company Limited,03-Sep-24,22
ULIF04001/09/10HighestNAV101,Highest NAV Guarantee Fund,03-09-2024,20.1661,HDFC Life Insurance Company Limited,03-Sep-24,23
ULIF03901/09/10BalancedFd101,Balanced Fund,03-09-2024,39.3371,HDFC Life Insurance Company Limited,03-Sep-24,24
ULIF03801/09/10ShortTrmFd101,Short Term Fund,03-09-2024,22.9570,HDFC Life Insurance Company Limited,03-Sep-24,25
ULIF03701/01/10VantageFnd101,Vantage Fund,03-09-2024,41.6646,HDFC Life Insurance Company Limited,03-Sep-24,26
ULIF03601/01/10OpprtntyFd101,Opportunities Fund,03-09-2024,78.6255,HDFC Life Insurance Company Limited,03-Sep-24,27
ULIF03501/01/10BlueChipFd101,Blue Chip Fund,03-09-2024,52.2488,HDFC Life Insurance Company Limited,03-Sep-24,28
ULIF03401/01/10IncomeFund101,Income Fund,03-09-2024,27.5797,HDFC Life Insurance Company Limited,03-Sep-24,29
ULIF03304/08/08ManagerFnd101,Manager’s Fund,03-09-2024,54.6679,HDFC Life Insurance Company Limited,03-Sep-24,30
ULIF03204/08/08Large-CapF101,Large-cap Fund,03-09-2024,66.0773,HDFC Life Insurance Company Limited,03-Sep-24,31
ULIF03104/08/08Mid-capFnd101,Mid-cap Fund,03-09-2024,118.0158,HDFC Life Insurance Company Limited,03-Sep-24,32
ULIF03004/08/08BondOprtFd101,Bond Opportunities Fund,03-09-2024,27.3275,HDFC Life Insurance Company Limited,03-Sep-24,33
ULIF02904/08/08MoneyPlusF101,Money Plus Fund,03-09-2024,22.9703,HDFC Life Insurance Company Limited,03-Sep-24,34
ULIF02808/10/08GrwthFndII101,Growth Fund II,03-09-2024,92.1235,HDFC Life Insurance Company Limited,03-Sep-24,35
ULIF02708/10/08EquityMFII101,Equity Managed Fund II,03-09-2024,80.4665,HDFC Life Insurance Company Limited,03-Sep-24,36
ULIF02608/10/08BalncdMFII101,Balanced Managed Fund II,03-09-2024,57.0356,HDFC Life Insurance Company Limited,03-Sep-24,37
ULIF02508/10/08DefnsvFdII101,Defensive Managed Fund II,03-09-2024,43.0149,HDFC Life Insurance Company Limited,03-Sep-24,38
ULIF02408/10/08SecureMFII101,Secure Managed Fund II,03-09-2024,32.7891,HDFC Life Insurance Company Limited,03-Sep-24,39
ULIF02308/10/08StableMFII101,Stable Managed Fund II,03-09-2024,27.1226,HDFC Life Insurance Company Limited,03-Sep-24,40
ULIF02208/10/08LiquidFdII101,Liquid Fund II,03-09-2024,25.7058,HDFC Life Insurance Company Limited,03-Sep-24,41
ULIF02120/02/08GrwthFndII101,Growth Fund II,03-09-2024,48.8082,HDFC Life Insurance Company Limited,03-Sep-24,42
ULIF02020/02/08EquityMFII101,Equity Managed Fund II,03-09-2024,52.3771,HDFC Life Insurance Company Limited,03-Sep-24,43
ULIF01920/02/08BalncdMFII101,Balanced Managed Fund II,03-09-2024,40.6358,HDFC Life Insurance Company Limited,03-Sep-24,44
ULIF01901/06/20PNLARGECAP101,Large Cap - Pension Fund,03-09-2024,20.7983,HDFC Life Insurance Company Limited,03-Sep-24,45
ULIF01820/02/08DefnsvFdII101,Defensive Managed Fund II,03-09-2024,38.8681,HDFC Life Insurance Company Limited,03-Sep-24,46
ULIF01801/10/18CAPNIFINDX101,Capped Nifty Index Fund,03-09-2024,23.6958,HDFC Life Insurance Company Limited,03-Sep-24,47
ULIF01720/02/08SecureMFII101,Secure Managed Fund II,03-09-2024,33.0503,HDFC Life Insurance Company Limited,03-Sep-24,48
ULIF01701/01/17MIDCAP101,Individual Midcap Fund,03-09-2024,32.0899,HDFC Life Insurance Company Limited,03-Sep-24,49
ULIF01620/02/08StableMFII101,Stable Managed Fund II,03-09-2024,28.3191,HDFC Life Insurance Company Limited,03-Sep-24,50
ULIF01527/12/10ACTASSET101,Active Asset Allocation Fund,03-09-2024,36.4270,HDFC Life Insurance Company Limited,03-Sep-24,51
ULIF01520/02/08LiquidFdII101,Liquid Fund II,03-09-2024,27.16,HDFC Life Insurance Company Limited,03-Sep-24,52
ULIF01420/06/07StableMgFd101,Stable Managed Fund,03-09-2024,79.2955,HDFC Life Insurance Company Limited,03-Sep-24,53
ULIF01403/12/10GTDNAV101,Guaranteed NAV Fund,03-09-2024,24.8782,HDFC Life Insurance Company Limited,03-Sep-24,54
ULIF01316/12/09PNPRIMEEQU101,Individual Prime Equity Pension Fund,03-09-2024,46.4678,HDFC Life Insurance Company Limited,03-Sep-24,55
ULIF01316/01/06EquityMgFd101,Equity Managed Fund,03-09-2024,360.7611,HDFC Life Insurance Company Limited,03-Sep-24,56
ULIF01216/12/09PNPRESERVR101,Individual Preserver Pension Fund,03-09-2024,32.4203,HDFC Life Insurance Company Limited,03-Sep-24,57
ULIF01202/01/04GrowthFund101,Growth Fund,03-09-2024,426.6883,HDFC Life Insurance Company Limited,03-Sep-24,58
ULIF01116/12/09PRIMEEQU101,Individual Prime Equity Fund,03-09-2024,44.1893,HDFC Life Insurance Company Limited,03-Sep-24,59
ULIF01102/01/04BalancedMF101,Balanced Managed Fund,03-09-2024,205.2042,HDFC Life Insurance Company Limited,03-Sep-24,60
ULIF01016/12/09PRESERVER101,Individual Preserver Fund,03-09-2024,32.4199,HDFC Life Insurance Company Limited,03-Sep-24,61
ULIF01002/01/04DefensiveF101,Defensive Managed Fund,03-09-2024,124.1733,HDFC Life Insurance Company Limited,03-Sep-24,62
ULIF00905/02/08PENLIQUID101,Pension Liquid Fund,03-09-2024,28.5980,HDFC Life Insurance Company Limited,03-Sep-24,63
ULIF00902/01/04SecureMgtF101,Secure Managed Fund,03-09-2024,85.03,HDFC Life Insurance Company Limited,03-Sep-24,64
ULIF00805/02/08PENEQUITY101,Pension Equity Fund,03-09-2024,49.5972,HDFC Life Insurance Company Limited,03-Sep-24,65
